T26,Water supply and sanitation services,,,,,
428,Latvia,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",58.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
428,Latvia,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",72.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
428,Latvia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",81.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
428,Latvia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",81.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
428,Latvia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",62.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
428,Latvia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",75.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
428,Latvia,2015,"Safely managed drinking water sources, total (Proportion of population with access)",81.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
428,Latvia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",84.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
428,Latvia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",65.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
428,Latvia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",78.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
422,Lebanon,2005,"Safely managed drinking water sources, total (Proportion of population with access)",45.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
422,Lebanon,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",17.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
422,Lebanon,2010,"Safely managed drinking water sources, total (Proportion of population with access)",46.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
422,Lebanon,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",18.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
422,Lebanon,2015,"Safely managed drinking water sources, total (Proportion of population with access)",47.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
422,Lebanon,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",20.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
434,Libya,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",28.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
434,Libya,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",27.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
434,Libya,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",26.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
438,Liechtenstein,2005,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
438,Liechtenstein,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",99.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
438,Liechtenstein,2010,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
438,Liechtenstein,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",99.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
438,Liechtenstein,2015,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
438,Liechtenstein,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",99.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
440,Lithuania,2005,"Safely managed drinking water sources, total (Proportion of population with access)",75.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
440,Lithuania,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",61.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
440,Lithuania,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",46.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
440,Lithuania,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",56.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
440,Lithuania,2010,"Safely managed drinking water sources, total (Proportion of population with access)",83.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
